school,Total,Male,Female,AM,AS,BL,HI,PI,WH,MU,ESOL,FARMS,special_ed,Level,Year,X,EML
Kensington Parkwood ES,659,50.8,49.2,≤5.0,6.4,6.7,9.6,≤5.0,69.8,7.3,5.9,6.4,10.8,Elementary School,2014-2015,,
Lake Seneca ES,536,49.6,50.4,≤5.0,8.0,38.2,29.5,≤5.0,19.4,≤5.0,21.1,51.9,17.0,Elementary School,2014-2015,,
Lakewood ES,542,49.6,50.4,≤5.0,44.5,8.9,6.3,≤5.0,34.7,5.5,10.1,6.6,9.6,Elementary School,2014-2015,,
Laytonsville ES,429,57.8,42.2,≤5.0,8.2,15.4,15.9,≤5.0,54.3,6.1,5.6,17.0,20.0,Elementary School,2014-2015,,
JoAnn Leleck ES,749,50.7,49.3,≤5.0,5.3,13.4,80.5,≤5.0,≤5.0,≤5.0,68.9,≥95.0,7.6,Elementary School,2014-2015,,
Little Bennett ES,692,49.3,50.7,≤5.0,30.2,16.3,11.1,≤5.0,34.1,7.9,9.2,16.5,7.2,Elementary School,2014-2015,,
Luxmanor ES,460,50.7,49.3,≤5.0,25.7,10.0,18.0,≤5.0,40.9,5.4,22.4,15.9,10.7,Elementary School,2014-2015,,
Thurgood Marshall ES,615,53.2,46.8,≤5.0,16.7,13.2,28.5,≤5.0,36.4,≤5.0,14.3,30.7,12.7,Elementary School,2014-2015,,
Maryvale ES,612,47.4,52.6,≤5.0,8.0,27.9,29.4,≤5.0,26.6,7.5,26.1,44.3,8.0,Elementary School,2014-2015,,
Spark M. Matsunaga ES,919,50.2,49.8,≤5.0,36.8,18.3,13.8,≤5.0,26.1,≤5.0,10.4,18.6,5.4,Elementary School,2014-2015,,
S. Christa McAuliffe ES,630,49.2,50.8,≤5.0,8.3,35.1,32.4,≤5.0,16.5,7.5,19.4,50.8,8.1,Elementary School,2014-2015,,
Ronald McNair ES,848,49.9,50.1,≤5.0,31.0,22.5,15.7,≤5.0,25.2,5.3,17.8,26.3,5.9,Elementary School,2014-2015,,
Meadow Hall ES,424,52.8,47.2,≤5.0,11.3,10.8,54.2,≤5.0,18.2,≤5.0,23.6,55.0,15.3,Elementary School,2014-2015,,
Mill Creek Towne ES,410,55.6,44.4,≤5.0,11.0,14.1,41.7,≤5.0,26.6,6.1,29.5,49.0,20.0,Elementary School,2014-2015,,
Monocacy ES,161,54.7,45.3,≤5.0,≤5.0,6.8,10.6,≤5.0,73.9,6.2,≤5.0,16.1,14.3,Elementary School,2014-2015,,
Montgomery Knolls ES,510,55.1,44.9,≤5.0,≤5.0,25.1,48.4,≤5.0,20.8,≤5.0,46.1,64.7,16.9,Elementary School,2014-2015,,
New Hampshire Estates ES,517,50.3,49.7,≤5.0,≤5.0,18.0,77.2,≤5.0,≤5.0,≤5.0,67.9,91.3,7.0,Elementary School,2014-2015,,
Roscoe R. Nix ES,519,52.8,47.2,≤5.0,8.9,39.1,44.1,≤5.0,5.6,≤5.0,43.2,74.2,9.2,Elementary School,2014-2015,,
North Chevy Chase ES,354,54.2,45.8,≤5.0,5.4,14.7,15.8,≤5.0,57.6,6.2,5.4,14.1,10.5,Elementary School,2014-2015,,
Oak View ES,381,51.4,48.6,≤5.0,7.1,17.1,62.2,≤5.0,12.3,≤5.0,38.3,76.4,12.1,Elementary School,2014-2015,,
Oakland Terrace ES,490,51.0,49.0,≤5.0,8.8,15.5,28.8,≤5.0,38.2,8.4,15.9,31.6,13.3,Elementary School,2014-2015,,
Olney ES,633,52.9,47.1,≤5.0,12.3,15.0,16.4,≤5.0,49.0,7.1,9.5,21.2,7.0,Elementary School,2014-2015,,
William Tyler Page ES,409,54.0,46.0,≤5.0,17.6,52.1,20.3,≤5.0,7.6,≤5.0,24.0,54.3,8.1,Elementary School,2014-2015,,
Pine Crest ES,474,51.7,48.3,≤5.0,8.2,19.0,38.4,≤5.0,30.2,≤5.0,21.1,50.2,9.1,Elementary School,2014-2015,,
Piney Branch ES,526,50.8,49.2,≤5.0,≤5.0,37.1,16.0,≤5.0,37.3,5.7,14.6,35.0,10.3,Elementary School,2014-2015,,
Poolesville ES,439,49.0,51.0,≤5.0,≤5.0,≤5.0,11.8,≤5.0,74.3,≤5.0,≤5.0,13.0,11.6,Elementary School,2014-2015,,
Potomac ES,474,51.9,48.1,≤5.0,32.7,≤5.0,≤5.0,≤5.0,54.0,≤5.0,6.5,≤5.0,6.1,Elementary School,2014-2015,,
Judith A. Resnik ES,616,51.0,49.0,≤5.0,12.5,31.7,38.0,≤5.0,14.4,≤5.0,28.7,57.0,9.1,Elementary School,2014-2015,,
Dr. Sally K. Ride ES,524,54.4,45.6,≤5.0,17.9,38.2,26.1,≤5.0,12.6,≤5.0,17.4,49.2,17.6,Elementary School,2014-2015,,
Ritchie Park ES,541,49.5,50.5,≤5.0,21.3,9.6,18.1,≤5.0,45.1,5.4,12.0,20.0,6.3,Elementary School,2014-2015,,
Rock Creek Forest ES,629,49.4,50.6,≤5.0,5.2,15.7,31.8,≤5.0,41.2,5.7,17.0,24.3,7.8,Elementary School,2014-2015,,
Rock Creek Valley ES,443,49.2,50.8,≤5.0,12.2,10.2,40.0,≤5.0,30.2,7.2,23.9,37.7,23.0,Elementary School,2014-2015,,
Rock View ES,653,50.7,49.3,≤5.0,10.4,16.7,45.6,≤5.0,20.8,6.0,26.2,52.5,13.9,Elementary School,2014-2015,,
Lois P. Rockwell ES,451,50.3,49.7,≤5.0,10.0,11.5,21.3,≤5.0,51.0,6.0,11.5,22.6,17.5,Elementary School,2014-2015,,
Rolling Terrace ES,899,50.1,49.9,≤5.0,≤5.0,15.2,64.5,≤5.0,14.5,≤5.0,52.3,71.1,6.1,Elementary School,2014-2015,,
Rosemary Hills ES,628,51.0,49.0,≤5.0,≤5.0,21.7,15.0,≤5.0,52.9,5.9,18.3,27.7,8.8,Elementary School,2014-2015,,
Rosemont ES,567,54.9,45.1,≤5.0,9.3,23.1,48.0,≤5.0,14.1,≤5.0,42.2,61.6,13.2,Elementary School,2014-2015,,
Sequoyah ES,437,50.8,49.2,≤5.0,10.8,17.2,48.3,≤5.0,20.4,≤5.0,32.5,56.1,15.8,Elementary School,2014-2015,,
Seven Locks ES,397,50.1,49.9,≤5.0,18.1,8.6,10.3,≤5.0,53.9,8.3,11.8,5.5,≤5.0,Elementary School,2014-2015,,
Sherwood ES,494,53.8,46.2,≤5.0,11.5,20.0,11.9,≤5.0,52.0,≤5.0,7.3,17.0,11.3,Elementary School,2014-2015,,
Sargent Shriver ES,755,49.3,50.7,≤5.0,7.5,12.7,74.6,≤5.0,≤5.0,≤5.0,49.1,81.6,6.8,Elementary School,2014-2015,,
Flora M. Singer ES,675,53.2,46.8,≤5.0,7.0,14.2,38.4,≤5.0,35.0,5.2,29.2,43.0,15.1,Elementary School,2014-2015,,
Sligo Creek ES,637,52.6,47.4,≤5.0,6.0,22.0,10.5,≤5.0,53.1,8.2,9.1,13.3,9.6,Elementary School,2014-2015,,
Somerset ES,565,52.2,47.8,≤5.0,9.0,≤5.0,14.5,≤5.0,63.4,7.8,13.8,7.4,5.5,Elementary School,2014-2015,,
South Lake ES,850,54.9,45.1,≤5.0,8.5,26.2,59.8,≤5.0,≤5.0,≤5.0,50.4,83.5,6.1,Elementary School,2014-2015,,
Stedwick ES,575,54.1,45.9,≤5.0,7.1,35.3,35.8,≤5.0,15.5,5.6,32.2,56.2,11.0,Elementary School,2014-2015,,
Stone Mill ES,612,50.0,50.0,≤5.0,50.2,11.6,5.7,≤5.0,28.6,≤5.0,11.4,9.3,11.9,Elementary School,2014-2015,,
Stonegate ES,489,54.8,45.2,≤5.0,13.5,34.2,18.2,≤5.0,25.8,8.0,8.6,22.1,11.5,Elementary School,2014-2015,,
Strathmore ES,454,53.5,46.5,≤5.0,5.9,42.1,41.0,≤5.0,7.3,≤5.0,19.6,62.8,12.8,Elementary School,2014-2015,,
Strawberry Knoll ES,592,50.7,49.3,≤5.0,14.7,25.7,39.2,≤5.0,13.7,5.9,21.5,47.3,15.7,Elementary School,2014-2015,,
Summit Hall ES,627,54.9,45.1,≤5.0,5.1,21.2,67.9,≤5.0,≤5.0,≤5.0,52.0,82.3,9.3,Elementary School,2014-2015,,
Takoma Park ES,654,48.0,52.0,≤5.0,≤5.0,33.8,20.0,≤5.0,37.3,5.8,31.7,34.3,5.5,Elementary School,2014-2015,,
Travilah ES,413,49.9,50.1,≤5.0,44.1,6.1,≤5.0,≤5.0,39.5,5.6,9.7,6.5,7.0,Elementary School,2014-2015,,
Twinbrook ES,531,54.4,45.6,≤5.0,15.6,10.5,58.0,≤5.0,11.9,≤5.0,48.2,67.0,9.8,Elementary School,2014-2015,,
Viers Mill ES,710,50.4,49.6,≤5.0,8.2,11.5,61.1,≤5.0,15.8,≤5.0,45.1,65.8,18.9,Elementary School,2014-2015,,
Washington Grove ES,408,57.8,42.2,≤5.0,10.0,21.3,58.1,≤5.0,8.6,≤5.0,48.8,75.2,20.1,Elementary School,2014-2015,,
Waters Landing ES,695,50.4,49.6,≤5.0,6.2,34.5,34.5,≤5.0,17.3,6.9,23.5,52.8,12.4,Elementary School,2014-2015,,
Watkins Mill ES,634,53.5,46.5,≤5.0,10.4,34.9,45.6,≤5.0,≤5.0,≤5.0,41.6,71.6,13.2,Elementary School,2014-2015,,
Wayside ES,531,50.5,49.5,≤5.0,36.5,6.4,5.6,≤5.0,45.6,5.6,11.5,≤5.0,8.3,Elementary School,2014-2015,,
Weller Road ES,655,53.0,47.0,≤5.0,9.9,11.0,73.4,≤5.0,≤5.0,≤5.0,46.7,76.3,10.1,Elementary School,2014-2015,,
Westbrook ES,455,51.9,48.1,≤5.0,≤5.0,≤5.0,10.1,≤5.0,76.3,7.7,≤5.0,≤5.0,12.5,Elementary School,2014-2015,,
Westover ES,306,58.8,41.2,≤5.0,16.0,33.0,22.2,≤5.0,23.2,5.2,13.4,23.2,20.9,Elementary School,2014-2015,,
Wheaton Woods ES,534,49.4,50.6,≤5.0,7.7,29.2,56.0,≤5.0,6.0,≤5.0,48.5,83.1,6.4,Elementary School,2014-2015,,
Whetstone ES,748,53.1,46.9,≤5.0,7.9,26.3,50.5,≤5.0,11.2,≤5.0,37.4,66.2,15.5,Elementary School,2014-2015,,
Wilson Wims ES,656,51.1,48.9,≤5.0,40.1,14.9,11.3,≤5.0,25.9,7.5,9.5,11.1,≤5.0,Elementary School,2014-2015,,
Wood Acres ES,714,52.2,47.8,≤5.0,11.6,≤5.0,9.4,≤5.0,69.6,6.2,5.5,≤5.0,5.7,Elementary School,2014-2015,,
Woodfield ES,298,48.3,51.7,≤5.0,≤5.0,13.1,19.1,≤5.0,56.4,6.4,≤5.0,19.5,13.4,Elementary School,2014-2015,,
Woodlin ES,625,51.8,48.2,≤5.0,5.9,24.8,18.7,≤5.0,40.5,9.6,14.2,24.6,15.2,Elementary School,2014-2015,,
Wyngate ES,770,50.9,49.1,≤5.0,8.8,≤5.0,11.6,≤5.0,67.1,8.3,8.8,≤5.0,6.1,Elementary School,2014-2015,,
Argyle MS,915,55.0,45.0,≤5.0,10.8,33.6,44.7,≤5.0,8.2,≤5.0,13.6,61.2,8.9,Middle School,2014-2015,,
John T. Baker MS,771,50.3,49.7,≤5.0,6.4,8.3,18.2,≤5.0,61.6,5.1,≤5.0,17.0,12.6,Middle School,2014-2015,,
Benjamin Banneker MS,879,52.3,47.7,≤5.0,10.6,61.8,16.0,≤5.0,6.3,5.2,≤5.0,52.2,10.6,Middle School,2014-2015,,
Briggs Chaney MS,903,49.1,50.9,≤5.0,13.4,53.5,19.7,≤5.0,8.5,≤5.0,8.9,45.8,7.6,Middle School,2014-2015,,
Cabin John MS,942,52.4,47.6,≤5.0,27.2,10.8,9.1,≤5.0,48.5,≤5.0,≤5.0,8.8,14.9,Middle School,2014-2015,,
Roberto W. Clemente MS,1204,49.5,50.5,≤5.0,26.5,25.2,25.7,≤5.0,17.0,5.3,≤5.0,33.6,9.5,Middle School,2014-2015,,
Eastern MS,863,43.8,56.2,≤5.0,14.9,19.0,38.4,≤5.0,23.2,≤5.0,15.5,45.3,7.9,Middle School,2014-2015,,
William H. Farquhar MS,582,47.8,52.2,≤5.0,14.3,15.5,13.9,≤5.0,50.2,6.2,≤5.0,11.9,9.8,Middle School,2014-2015,,
Forest Oak MS,823,51.3,48.7,≤5.0,7.4,27.3,47.4,≤5.0,13.5,≤5.0,18.2,59.5,13.2,Middle School,2014-2015,,
Robert Frost MS,1139,51.4,48.6,≤5.0,34.9,≤5.0,6.3,≤5.0,48.6,5.4,≤5.0,5.4,5.5,Middle School,2014-2015,,
Gaithersburg MS,750,56.0,44.0,≤5.0,9.3,22.9,41.2,≤5.0,21.2,5.1,14.1,47.7,17.5,Middle School,2014-2015,,
Herbert Hoover MS,1063,54.2,45.8,≤5.0,29.7,7.1,5.6,≤5.0,50.8,6.7,≤5.0,≤5.0,10.9,Middle School,2014-2015,,
Francis Scott Key MS,943,52.2,47.8,≤5.0,10.3,42.6,40.1,≤5.0,≤5.0,≤5.0,13.3,63.2,10.4,Middle School,2014-2015,,
"Dr. Martin Luther King, Jr.  MS",611,52.5,47.5,≤5.0,14.1,32.4,28.8,≤5.0,18.5,6.2,11.1,46.8,11.9,Middle School,2014-2015,,
Kingsview MS,1002,51.4,48.6,≤5.0,26.8,20.8,13.0,≤5.0,34.2,5.2,≤5.0,17.0,7.3,Middle School,2014-2015,,
Lakelands Park MS,1000,48.9,51.1,≤5.0,14.4,12.4,18.5,≤5.0,50.3,≤5.0,5.9,22.5,13.1,Middle School,2014-2015,,
Col. E. Brooke Lee MS,720,54.4,45.6,≤5.0,8.2,24.3,56.9,≤5.0,7.5,≤5.0,19.7,65.4,13.8,Middle School,2014-2015,,
A. Mario Loiederman MS,912,40.9,59.1,≤5.0,6.7,25.5,53.1,≤5.0,12.0,≤5.0,18.4,60.9,12.4,Middle School,2014-2015,,
Montgomery Village MS,658,54.1,45.9,≤5.0,9.7,31.8,45.9,≤5.0,8.5,≤5.0,14.6,62.3,16.0,Middle School,2014-2015,,
Neelsville MS,915,50.7,49.3,≤5.0,8.0,34.6,44.7,≤5.0,8.3,≤5.0,16.9,64.2,9.3,Middle School,2014-2015,,
Newport Mill MS,600,51.8,48.2,≤5.0,10.7,17.2,50.5,≤5.0,18.0,≤5.0,16.5,54.0,17.0,Middle School,2014-2015,,
North Bethesda MS,949,50.7,49.3,≤5.0,10.2,6.7,12.8,≤5.0,63.5,6.2,≤5.0,6.1,8.6,Middle School,2014-2015,,
Parkland MS,943,50.9,49.1,≤5.0,19.3,21.1,44.3,≤5.0,11.8,≤5.0,9.4,49.9,9.3,Middle School,2014-2015,,
Rosa M. Parks MS,904,49.9,50.1,≤5.0,9.3,10.0,11.8,≤5.0,63.5,≤5.0,≤5.0,10.2,7.0,Middle School,2014-2015,,
John Poole MS,326,52.5,47.5,≤5.0,5.8,≤5.0,11.3,≤5.0,72.1,5.8,≤5.0,14.1,10.7,Middle School,2014-2015,,
Thomas W. Pyle MS,1479,52.1,47.9,≤5.0,11.9,≤5.0,7.8,≤5.0,72.9,5.5,≤5.0,≤5.0,8.6,Middle School,2014-2015,,
Redland MS,543,51.4,48.6,≤5.0,11.4,19.9,33.3,≤5.0,30.9,≤5.0,9.4,38.1,11.4,Middle School,2014-2015,,
Ridgeview MS,699,50.2,49.8,≤5.0,15.7,14.0,23.9,≤5.0,41.6,≤5.0,5.4,26.0,7.7,Middle School,2014-2015,,
Rocky Hill MS,1130,50.4,49.6,≤5.0,26.4,21.9,16.1,≤5.0,30.2,5.4,≤5.0,20.7,8.7,Middle School,2014-2015,,
Shady Grove MS,595,54.1,45.9,≤5.0,14.3,21.0,32.9,≤5.0,25.4,6.4,9.1,41.3,11.1,Middle School,2014-2015,,
Silver Spring International MS,974,48.5,51.5,≤5.0,5.4,23.0,36.6,≤5.0,30.0,≤5.0,14.0,43.7,12.1,Middle School,2014-2015,,
Sligo MS,521,49.1,50.9,≤5.0,8.3,24.6,41.7,≤5.0,23.0,≤5.0,13.1,46.8,15.4,Middle School,2014-2015,,
Takoma Park MS,993,52.9,47.1,≤5.0,21.6,27.7,15.5,≤5.0,28.8,6.0,7.0,26.6,6.6,Middle School,2014-2015,,
Tilden MS,797,54.3,45.7,≤5.0,14.7,8.8,19.4,≤5.0,51.4,5.4,10.4,12.4,15.8,Middle School,2014-2015,,
Julius West MS,1197,52.7,47.3,≤5.0,20.6,15.2,26.4,≤5.0,31.7,5.9,11.3,29.8,7.4,Middle School,2014-2015,,
Westland MS,1251,50.8,49.2,≤5.0,5.8,10.6,15.8,≤5.0,62.5,≤5.0,6.6,12.6,8.6,Middle School,2014-2015,,
White Oak MS,746,51.9,48.1,≤5.0,11.3,30.7,43.8,≤5.0,11.0,≤5.0,16.9,57.8,9.9,Middle School,2014-2015,,
Earle B. Wood MS,927,53.7,46.3,≤5.0,10.1,12.9,38.6,≤5.0,33.5,≤5.0,8.8,36.6,14.3,Middle School,2014-2015,,
Bethesda-Chevy Chase HS,1992,51.8,48.2,≤5.0,5.6,14.2,16.8,≤5.0,57.9,5.3,≤5.0,11.7,8.5,High School,2014-2015,,
Montgomery Blair HS,2892,51.4,48.6,≤5.0,15.7,26.6,31.0,≤5.0,22.4,≤5.0,12.0,37.9,6.4,High School,2014-2015,,
James Hubert Blake HS,1601,44.7,55.3,≤5.0,8.9,43.2,21.9,≤5.0,21.7,≤5.0,≤5.0,33.0,10.6,High School,2014-2015,,
Winston Churchill HS,1996,51.2,48.8,≤5.0,23.2,7.9,8.9,≤5.0,55.7,≤5.0,≤5.0,≤5.0,10.9,High School,2014-2015,,
Clarksburg HS,1970,50.3,49.7,≤5.0,17.8,28.0,25.6,≤5.0,24.3,≤5.0,≤5.0,30.3,9.5,High School,2014-2015,,
Damascus HS,1247,50.7,49.3,≤5.0,5.7,10.9,16.5,≤5.0,62.1,≤5.0,≤5.0,16.7,13.5,High School,2014-2015,,
Thomas Edison HS of Technology,502,85.2,14.8,≤5.0,7.2,25.5,46.0,≤5.0,18.7,≤5.0,15.1,43.8,29.7,High School,2014-2015,,
Albert Einstein HS,1695,45.5,54.5,≤5.0,10.8,21.7,44.8,≤5.0,20.1,≤5.0,11.6,45.4,14.2,High School,2014-2015,,
Gaithersburg HS,2230,54.6,45.4,≤5.0,8.7,25.2,44.3,≤5.0,18.0,≤5.0,16.4,43.9,13.9,High School,2014-2015,,
Walter Johnson HS,2261,51.8,48.2,≤5.0,12.3,9.4,16.3,≤5.0,56.1,5.6,5.1,6.9,10.5,High School,2014-2015,,
John F. Kennedy HS,1553,51.6,48.4,≤5.0,8.6,34.3,50.3,≤5.0,5.2,≤5.0,13.3,54.7,14.2,High School,2014-2015,,
Col. Zadok Magruder HS,1523,52.6,47.4,≤5.0,14.6,18.2,34.4,≤5.0,28.9,≤5.0,6.0,33.9,9.5,High School,2014-2015,,
Richard Montgomery HS,2196,49.3,50.7,≤5.0,25.2,16.2,23.5,≤5.0,30.0,≤5.0,6.6,20.5,7.8,High School,2014-2015,,
Northwest HS,2105,50.3,49.7,≤5.0,17.8,27.6,20.4,≤5.0,28.5,5.6,≤5.0,27.8,11.5,High School,2014-2015,,
Northwood HS,1585,50.0,50.0,≤5.0,6.4,24.3,52.2,≤5.0,14.2,≤5.0,17.7,47.9,11.9,High School,2014-2015,,
Paint Branch HS,1989,51.4,48.6,≤5.0,14.7,54.7,16.8,≤5.0,10.0,≤5.0,≤5.0,36.1,9.8,High School,2014-2015,,
Poolesville HS,1223,50.7,49.3,≤5.0,25.8,5.7,6.9,≤5.0,54.5,6.6,≤5.0,7.2,5.4,High School,2014-2015,,
Quince Orchard HS,1889,50.3,49.7,≤5.0,12.4,14.8,23.1,≤5.0,45.1,≤5.0,6.5,22.6,9.0,High School,2014-2015,,
Rockville HS,1331,52.7,47.3,≤5.0,11.0,13.9,36.7,≤5.0,34.2,≤5.0,9.5,32.0,15.6,High School,2014-2015,,
Seneca Valley HS,1278,50.6,49.4,≤5.0,11.1,35.7,26.8,≤5.0,21.4,≤5.0,9.2,38.3,14.0,High School,2014-2015,,
Sherwood HS,1890,50.4,49.6,≤5.0,12.0,17.6,13.8,≤5.0,52.7,≤5.0,8.1,16.9,9.0,High School,2014-2015,,
Springbrook HS,1747,56.3,43.7,≤5.0,11.2,41.9,35.7,≤5.0,8.2,≤5.0,10.2,45.2,10.3,High School,2014-2015,,
Watkins Mill HS,1492,53.2,46.8,≤5.0,9.9,34.9,40.0,≤5.0,11.0,≤5.0,13.7,53.8,11.8,High School,2014-2015,,
Wheaton HS,1465,58.0,42.0,≤5.0,10.0,24.8,54.5,≤5.0,8.3,≤5.0,17.1,54.4,11.8,High School,2014-2015,,
Walt Whitman HS,1902,49.6,50.4,≤5.0,12.2,≤5.0,9.0,≤5.0,69.5,5.6,≤5.0,≤5.0,9.8,High School,2014-2015,,
Thomas S. Wootton HS,2190,51.1,48.9,≤5.0,35.5,6.8,7.7,≤5.0,46.2,≤5.0,≤5.0,5.2,6.8,High School,2014-2015,,
Arcola ES,693,50.8,49.2,≤5.0,8.5,18.2,69.7,≤5.0,≤5.0,≤5.0,46,74.7,10.5,Elementary School,2015-2016,,
Ashburton ES,907,52.0,48.0,≤5.0,16.2,14.8,14.0,≤5.0,45,9.4,14.9,11.8,12.8,Elementary School,2015-2016,,
Bannockburn ES,420,53.1,46.9,≤5.0,11,≤5.0,10.0,≤5.0,67.4,9,11,≤5.0,≤5.0,Elementary School,2015-2016,,
Lucy V. Barnsley ES,710,57.7,42.3,≤5.0,13.7,9.6,31.5,≤5.0,38.2,7,13.4,27.6,15.2,Elementary School,2015-2016,,
Beall ES,824,53.9,46.1,≤5.0,22.5,13.5,21.4,≤5.0,35.6,6.7,17.5,27.3,9.2,Elementary School,2015-2016,,
Bel Pre ES,574,55.6,44.4,≤5.0,7.8,36.8,46.0,≤5.0,5.7,≤5.0,51.6,71.4,7,Elementary School,2015-2016,,
Bells Mill ES,626,49.4,50.6,≤5.0,26.4,10.7,10.1,≤5.0,46.3,6.4,12.1,11,9.4,Elementary School,2015-2016,,
Belmont ES,314,49.0,51.0,≤5.0,7.3,≤5.0,10.5,≤5.0,72.6,≤5.0,≤5.0,6.1,8.3,Elementary School,2015-2016,,
Bethesda ES,556,54.5,45.5,≤5.0,14.7,6.5,9.9,≤5.0,62.2,6.7,17.4,7.6,12.1,Elementary School,2015-2016,,
Beverly Farms ES,597,49.7,50.3,≤5.0,29.5,7.7,9.7,≤5.0,46.4,6.5,8,6.2,7.4,Elementary School,2015-2016,,
Bradley Hills ES,626,52.4,47.6,≤5.0,10.5,≤5.0,9.9,≤5.0,67.1,10.9,7,≤5.0,≤5.0,Elementary School,2015-2016,,
Brooke Grove ES,386,49.2,50.8,≤5.0,15.8,19.9,14.5,≤5.0,46.4,≤5.0,11.9,22.5,19.9,Elementary School,2015-2016,,
Brookhaven ES,443,56.7,43.3,≤5.0,6.8,33.6,48.1,≤5.0,8.8,≤5.0,38.6,68.6,19.6,Elementary School,2015-2016,,
Brown Station ES,499,52.5,47.5,≤5.0,11.4,33.1,43.7,≤5.0,6.4,5.2,31.9,68.7,13,Elementary School,2015-2016,,
Burning Tree ES,497,56.7,43.3,≤5.0,17.9,≤5.0,7.4,≤5.0,60.4,9.5,12.9,6,16.7,Elementary School,2015-2016,,
Burnt Mills ES,531,51.8,48.2,≤5.0,≤5.0,63.3,22.2,≤5.0,7.2,≤5.0,26.4,66.7,8.7,Elementary School,2015-2016,,
Burtonsville ES,613,55.5,44.5,≤5.0,14.2,61.8,14.8,≤5.0,5.5,≤5.0,11.6,47.3,≤5.0,Elementary School,2015-2016,,
Candlewood ES,356,50.0,50.0,≤5.0,19.1,13.8,21.3,≤5.0,40.2,5.1,15.2,23,6.2,Elementary School,2015-2016,,
Cannon Road ES,434,53.0,47.0,≤5.0,8.8,39.6,44.7,≤5.0,≤5.0,≤5.0,10.6,66.1,10.8,Elementary School,2015-2016,,
Carderock Springs ES,406,51.0,49.0,≤5.0,17,≤5.0,8.4,≤5.0,66,5.2,7.4,≤5.0,9.4,Elementary School,2015-2016,,
Rachel Carson ES,1046,48.9,51.1,≤5.0,15.3,6.3,20.5,≤5.0,50.8,7.2,14.1,20.5,9.9,Elementary School,2015-2016,,
Cashell ES,369,52.3,47.7,≤5.0,9.5,12.5,23.0,≤5.0,46.3,8.7,9.2,23.3,13.8,Elementary School,2015-2016,,
Cedar Grove ES,582,50.0,50.0,≤5.0,39.3,10,10.5,≤5.0,33.8,6,8.9,9.3,8.1,Elementary School,2015-2016,,
Chevy Chase ES,558,50.9,49.1,≤5.0,6.6,14.9,10.6,≤5.0,62.2,5.7,9,17.7,6.3,Elementary School,2015-2016,,
Clarksburg ES,309,54.0,46.0,≤5.0,34.6,17.5,14.9,≤5.0,24.9,7.8,12.9,13.6,8.4,Elementary School,2015-2016,,
Clearspring ES,624,55.4,44.6,≤5.0,14.7,15.2,20.5,≤5.0,40.2,9.3,10.4,29.8,14.3,Elementary School,2015-2016,,
Clopper Mill ES,488,48.8,51.2,≤5.0,6.1,36.3,44.9,≤5.0,8.4,≤5.0,25.2,68.4,12.1,Elementary School,2015-2016,,
Cloverly ES,466,56.0,44.0,≤5.0,17.8,22.7,20.8,≤5.0,29.8,8.6,12.9,23.2,17.6,Elementary School,2015-2016,,
Cold Spring ES,333,52.6,47.4,≤5.0,40.2,≤5.0,7.8,≤5.0,41.1,6.9,≤5.0,≤5.0,≤5.0,Elementary School,2015-2016,,
College Gardens ES,888,51.1,48.9,≤5.0,21.1,18.5,15.2,≤5.0,37.6,7.1,17.7,14.1,5.2,Elementary School,2015-2016,,
Cresthaven ES,510,53.9,46.1,≤5.0,13.9,35.7,45.7,≤5.0,≤5.0,≤5.0,25.9,77.1,13.3,Elementary School,2015-2016,,
Capt. James E. Daly ES,596,47.7,52.3,≤5.0,7.6,35.2,45.3,≤5.0,8.2,≤5.0,39.3,71.3,10.4,Elementary School,2015-2016,,
Damascus ES,336,42.9,57.1,≤5.0,≤5.0,6.3,26.5,≤5.0,56.8,6.3,17.6,26.8,14.9,Elementary School,2015-2016,,
Darnestown ES,287,53.0,47.0,≤5.0,9.4,≤5.0,5.9,≤5.0,74.2,5.6,≤5.0,7.3,5.9,Elementary School,2015-2016,,
Diamond ES,665,52.8,47.2,≤5.0,44.5,9.6,12.3,≤5.0,28.9,≤5.0,24.7,10.2,9.8,Elementary School,2015-2016,,
Dr. Charles R. Drew ES,488,51.0,49.0,≤5.0,17.8,44.9,21.1,≤5.0,9.4,6.6,20.9,50,12.9,Elementary School,2015-2016,,
DuFief ES,313,49.5,50.5,≤5.0,31,7.3,12.1,≤5.0,42.8,6.7,12.5,14.4,23.6,Elementary School,2015-2016,,
East Silver Spring ES,554,50.9,49.1,≤5.0,≤5.0,56,20.4,≤5.0,15.7,≤5.0,31,55.6,12.6,Elementary School,2015-2016,,
Fairland ES,643,48.8,51.2,≤5.0,8.1,56.6,24.6,≤5.0,7.8,≤5.0,22.7,57.5,9.3,Elementary School,2015-2016,,
Fallsmead ES,535,51.2,48.8,≤5.0,32.7,6.9,8.0,≤5.0,46.2,5.8,12,8.4,6.4,Elementary School,2015-2016,,
Farmland ES,686,53.6,46.4,≤5.0,32.5,5.2,9.0,≤5.0,47.7,5.2,32.8,7.3,8.5,Elementary School,2015-2016,,
Fields Road ES,464,51.1,48.9,≤5.0,15.5,20.9,28.2,≤5.0,30.2,≤5.0,22.2,41.8,11.6,Elementary School,2015-2016,,
Flower Hill ES,493,56.2,43.8,≤5.0,13,30.8,44.0,≤5.0,8.1,≤5.0,35.9,64.9,15.4,Elementary School,2015-2016,,
